City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Hilo,19.7297,-155.09,75.2,64,75,3.44,US,broken clouds
1,Dikson,73.5069,80.5464,-29.56,86,91,17.4,RU,overcast clouds
2,Hobart,-42.8794,147.3294,66.99,52,75,18.41,AU,broken clouds
3,Ancud,-41.8697,-73.8203,60.01,88,0,5.75,CL,clear sky
4,Ocos,14.5094,-92.1933,71.6,100,20,4.45,GT,few clouds
5,Coihaique,-45.5752,-72.0662,53.6,71,0,1.12,CL,clear sky
6,Port Alfred,-33.5906,26.891,64.99,85,97,4.0,ZA,overcast clouds
7,Souillac,-20.5167,57.5167,84.2,65,40,12.66,MU,scattered clouds
8,Makakilo City,21.3469,-158.0858,75.2,50,1,5.75,US,clear sky
9,Torbay,47.6666,-52.7314,30.0,74,90,16.11,CA,overcast clouds
10,Baracoa,20.3467,-74.4958,72.99,78,3,3.49,CU,clear sky
11,Mataura,-46.1927,168.8643,74.17,49,96,1.45,NZ,light rain
12,Airai,-8.9266,125.4092,70.43,96,100,4.56,TL,overcast clouds
13,Busselton,-33.65,115.3333,66.99,89,94,5.99,AU,overcast clouds
14,Albany,42.6001,-73.9662,21.0,53,22,9.46,US,few clouds
15,Alta Floresta,-9.8756,-56.0861,68.77,98,100,0.58,BR,overcast clouds
16,Northam,51.0333,-4.2167,35.01,74,94,17.0,GB,overcast clouds
17,Mogadishu,2.0371,45.3438,78.8,65,75,17.27,SO,broken clouds
18,Kralendijk,12.15,-68.2667,78.8,78,20,17.27,BQ,few clouds
19,Puerto Madryn,-42.7692,-65.0385,56.55,64,5,15.14,AR,clear sky
20,Puerto Ayora,-0.7393,-90.3518,77.0,95,100,5.68,EC,overcast clouds
21,Punta Arenas,-53.15,-70.9167,57.2,44,75,8.05,CL,broken clouds
22,Floro,61.5996,5.0328,23.0,58,0,12.66,NO,clear sky
23,Upernavik,72.7868,-56.1549,17.24,79,42,4.79,GL,scattered clouds
24,Khatanga,71.9667,102.5,-22.77,81,62,13.6,RU,broken clouds
25,Atuona,-9.8,-139.0333,79.34,76,16,19.46,PF,few clouds
26,Necochea,-38.5473,-58.7368,59.0,72,47,4.0,AR,scattered clouds
27,Katsuura,35.1333,140.3,48.99,45,75,11.5,JP,broken clouds
28,Tabuk,17.4189,121.4443,83.82,62,24,2.1,PH,few clouds
29,Sao Filipe,14.8961,-24.4956,68.72,75,100,13.31,CV,overcast clouds
30,Vaxjo,56.8777,14.8091,19.99,93,75,9.22,SE,light snow
31,Kapaa,22.0752,-159.319,71.6,56,40,2.66,US,scattered clouds
32,Shira,54.4911,89.9531,25.47,94,32,7.27,RU,scattered clouds
33,Wasco,35.5941,-119.341,57.2,66,1,3.44,US,clear sky
34,Naze,28.3667,129.4833,69.8,52,75,16.11,JP,broken clouds
35,Asau,46.4333,26.4,30.0,71,76,1.07,RO,broken clouds
36,Ternate,0.8,127.4,84.29,72,70,9.57,ID,broken clouds
37,Ust-Maya,60.4167,134.5333,-20.45,84,100,4.45,RU,overcast clouds
38,Rio Gallegos,-51.6226,-69.2181,55.4,67,0,6.91,AR,clear sky
39,Saint-Pierre,-21.3393,55.4781,86.0,54,90,5.75,RE,overcast clouds
40,Faanui,-16.4833,-151.75,81.59,76,38,14.03,PF,moderate rain
41,Cherskiy,68.75,161.3,3.67,73,0,1.19,RU,clear sky
42,Olinda,-8.0089,-34.8553,78.8,69,40,5.75,BR,scattered clouds
43,Rikitea,-23.1203,-134.9692,77.59,68,74,11.54,PF,broken clouds
44,Raga,8.4596,25.678,54.01,39,17,2.8,SS,few clouds
45,Balykshi,47.0667,51.8667,5.0,78,0,11.18,KZ,clear sky
46,Saskylakh,71.9167,114.0833,-35.14,81,43,9.6,RU,scattered clouds
47,Havre-Saint-Pierre,50.2334,-63.5986,14.0,85,75,6.91,CA,broken clouds
48,Kodiak,57.79,-152.4072,26.6,74,1,5.75,US,clear sky
49,Pevek,69.7008,170.3133,-7.33,81,0,1.16,RU,clear sky
50,Castro,-24.7911,-50.0119,52.5,87,0,6.06,BR,clear sky
51,Ushuaia,-54.8,-68.3,51.8,82,75,2.3,AR,broken clouds
52,Sitrah,26.1547,50.6206,62.6,77,1,9.22,BH,clear sky
53,Qaanaaq,77.484,-69.3632,17.28,85,100,5.79,GL,overcast clouds
54,Shumyachi,53.8583,32.4242,-4.95,92,11,1.41,RU,few clouds
55,East London,-33.0153,27.9116,66.2,94,75,9.22,ZA,broken clouds
56,Luderitz,-26.6481,15.1594,67.35,48,0,24.47,NA,clear sky
57,Huarmey,-10.0681,-78.1522,71.47,77,100,6.55,PE,overcast clouds
58,Te Anau,-45.4167,167.7167,65.37,66,100,5.75,NZ,light rain
59,Chokurdakh,70.6333,147.9167,-12.96,89,89,6.42,RU,overcast clouds
60,Vaini,-21.2,-175.2,77.0,94,90,11.5,TO,moderate rain
61,Port Lincoln,-34.7333,135.8667,68.38,62,24,15.86,AU,few clouds
62,Ribeira Grande,38.5167,-28.7,59.02,82,26,21.59,PT,scattered clouds
63,Sao Paulo De Olivenca,-3.3783,-68.8725,74.12,97,100,1.79,BR,moderate rain
64,Cayenne,4.9333,-52.3333,78.8,89,75,5.75,GF,broken clouds
65,Lebu,-37.6167,-73.65,57.81,93,89,4.34,CL,overcast clouds
66,Joigny,47.9829,3.401,30.99,85,45,5.91,FR,scattered clouds
67,Tomatlan,19.9333,-105.25,64.0,92,3,1.9,MX,clear sky
68,Sarai,53.7458,41.0213,-7.06,90,67,6.87,RU,broken clouds
69,Bluff,-46.6,168.3333,60.73,75,100,13.69,NZ,light rain
70,Petropavlovsk-Kamchatskiy,53.0452,158.6483,24.8,80,75,8.95,RU,light snow
71,Braintree,51.8782,0.5529,28.0,91,98,1.01,GB,light snow
72,Qaqortoq,60.7167,-46.0333,39.2,28,40,40.29,GL,scattered clouds
73,Saint-Philippe,-21.3585,55.7679,86.0,54,90,5.75,RE,overcast clouds
74,Whitehorse,60.7161,-135.0538,-6.0,77,75,4.03,CA,light snow
75,Lata,40.1629,-8.3327,53.01,90,65,8.7,PT,broken clouds
76,Butaritari,3.0707,172.7902,81.45,80,33,17.74,KI,scattered clouds
77,Lasa,46.6166,10.7002,35.01,80,90,6.91,IT,snow
78,Novoseleznevo,55.6821,69.2056,3.4,93,100,10.27,RU,overcast clouds
79,Mar Del Plata,-38.0023,-57.5575,62.01,77,90,11.5,AR,overcast clouds
80,Krasnoselkup,65.7,82.4667,10.04,95,100,20.36,RU,light snow
81,Evensk,61.95,159.2333,12.07,91,100,41.67,RU,light snow
82,Slave Lake,55.2834,-114.769,-29.2,75,1,3.67,CA,clear sky
83,Oktyabrskoye,43.0645,44.7417,26.6,93,98,4.47,RU,overcast clouds
84,Barrow,71.2906,-156.7887,-27.4,68,1,4.61,US,clear sky
85,Hithadhoo,-0.6,73.0833,82.06,76,33,12.19,MV,scattered clouds
86,Ponta Do Sol,32.6667,-17.1,57.99,78,40,3.0,PT,scattered clouds
87,Esperance,-33.8667,121.9,87.8,40,40,20.71,AU,scattered clouds
88,Amazar,53.858,120.875,0.82,84,100,3.15,RU,overcast clouds
89,Flinders,-34.5833,150.8552,73.0,71,53,5.01,AU,broken clouds
90,Puksoozero,62.5903,40.6066,-18.81,89,84,5.26,RU,broken clouds
91,Fortuna,40.5982,-124.1573,43.0,93,90,4.81,US,overcast clouds
92,Provideniya,64.3833,-173.3,-2.42,85,100,21.32,RU,overcast clouds
93,Severo-Kurilsk,50.6789,156.125,25.3,93,91,20.54,RU,light snow
94,Cidreira,-30.1811,-50.2056,69.51,72,0,6.46,BR,clear sky
95,Nouadhibou,20.931,-17.0347,59.0,77,0,18.41,MR,clear sky
96,Hami,42.8,93.45,42.62,50,58,1.92,CN,broken clouds
97,Hambantota,6.1241,81.1185,86.0,74,0,14.97,LK,clear sky
98,Yellowknife,62.456,-114.3525,-35.0,67,75,9.22,CA,broken clouds
99,Tasiilaq,65.6145,-37.6368,30.2,51,75,14.97,GL,broken clouds
100,Port-Gentil,-0.7193,8.7815,81.28,80,100,8.72,GA,overcast clouds
101,Cape Town,-33.9258,18.4232,68.0,72,40,11.5,ZA,scattered clouds
102,Narsaq,60.9167,-46.05,39.2,28,40,40.29,GL,scattered clouds
103,Eldorado,-23.7869,-54.2836,66.22,86,0,1.88,BR,clear sky
104,Yerbogachen,61.2767,108.0108,26.33,98,100,5.28,RU,light snow
105,Santa Quiteria Do Maranhao,-3.5156,-42.5467,73.69,96,0,3.87,BR,clear sky
106,Araouane,18.9048,-3.5265,57.52,33,13,11.01,ML,few clouds
107,Alexandria,31.2156,29.9553,53.6,94,86,3.44,EG,mist
108,Saldanha,-33.0117,17.9442,60.8,77,0,6.91,ZA,clear sky
109,Manadhoo,5.7667,73.3833,81.43,72,13,10.13,MV,few clouds
110,Olafsvik,64.8945,-23.7142,35.29,80,45,14.97,IS,scattered clouds
111,Vao,-22.6667,167.4833,78.8,74,19,3.8,NC,few clouds
112,Kondinskoye,59.6481,67.41,-4.36,90,100,12.35,RU,overcast clouds
113,Hermanus,-34.4187,19.2345,63.0,76,16,5.99,ZA,few clouds
114,Vanimo,-2.6741,141.3028,85.03,66,100,5.03,PG,overcast clouds
115,Constitucion,-35.3333,-72.4167,56.28,90,8,4.05,CL,clear sky
116,Thompson,55.7435,-97.8558,-27.4,68,75,13.8,CA,snow
117,Kamloops,50.6665,-120.3192,26.6,59,75,14.97,CA,broken clouds
118,Mildura,-34.2,142.15,81.0,19,0,11.5,AU,clear sky
119,Thinadhoo,0.5333,72.9333,81.68,81,16,14.65,MV,few clouds
120,Jawhar,2.7809,45.5005,78.13,70,13,18.43,SO,few clouds
121,Lagunas,-5.2269,-75.6753,75.31,95,100,1.14,PE,overcast clouds
122,Bela,25.9333,81.9833,67.82,41,0,6.58,IN,clear sky
123,Naryan-Mar,67.6713,53.087,-13.02,88,100,16.33,RU,overcast clouds
124,Komsomolskiy,40.4272,71.7189,42.8,81,79,4.97,UZ,broken clouds
125,Rocha,-34.4833,-54.3333,60.87,92,41,1.88,UY,scattered clouds
126,Rostovka,55.3842,71.8891,5.22,93,15,8.48,RU,few clouds
127,Jamestown,42.097,-79.2353,12.0,85,90,6.91,US,light snow
128,Neuquen,-38.9516,-68.0591,64.4,52,75,17.27,AR,broken clouds
129,Husavik,66.0449,-17.3389,32.0,74,20,3.44,IS,few clouds
130,Khuchni,41.9499,47.9485,35.24,87,98,5.35,RU,overcast clouds
131,Berlevag,70.8578,29.0864,21.2,93,90,27.63,NO,snow
132,Zeya,53.75,127.2667,5.95,83,0,4.38,RU,clear sky
133,Sitka,57.0531,-135.33,33.8,40,90,11.5,US,overcast clouds
134,Tobermory,45.2501,-81.6665,15.8,67,100,20.71,CA,light snow
135,Luanda,-8.8368,13.2343,78.8,78,75,3.44,AO,broken clouds
136,Amapa,1.0,-52.0,71.85,98,100,3.6,BR,overcast clouds
137,Rimini,44.0241,12.5186,51.01,71,40,8.05,IT,scattered clouds
138,Kaitangata,-46.2817,169.8464,64.99,77,98,4.0,NZ,overcast clouds
139,Bohdan,48.0412,24.3522,41.54,84,100,3.89,UA,overcast clouds
140,Ostersund,63.1792,14.6357,15.8,86,90,6.91,SE,overcast clouds
141,Sinalunga,43.2152,11.7495,46.99,75,63,11.99,IT,broken clouds
142,Santa Fe,-31.6333,-60.7,75.99,78,0,2.57,AR,clear sky
143,Richards Bay,-28.783,32.0377,75.4,89,95,7.63,ZA,overcast clouds
144,Allentown,40.6084,-75.4902,26.6,54,1,6.91,US,clear sky
